pid1typeoriginalQ-shortQ	1		 How should I treat polymenorrhea in a 14-year-old girl?  How should I treat polymenorrhea in a 14-year-old girl? 
pid2typeoriginalQ-shortQ	1		 Have there been any studies with low molecular weight heparin in pregnancy because I have an obstetric patient who had a deep vein thrombosis with her last pregnancy and I'm wondering if I can use it?  Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)? 
pid3typeoriginalQ-shortRandQ	0		 Have there been any studies with low molecular weight heparin in pregnancy because I have an obstetric patient who had a deep vein thrombosis with her last pregnancy and I'm wondering if I can use it?  What are the side effects of Florinef? Could it cause headaches? 
pid4typeoriginalQ-shortQ	1		 Let's give these immunizations. That's right isn't it?  Let's give these immunizations. That's right isn't it? 
pid5typeoriginalQ-shortRandQ	0		 Let's give these immunizations. That's right isn't it?  Is there more support we can provide patients with macular degeneration? 
pid6typeoriginalQ-shortQ	1		 Since these boys' father has Marfan's Syndrome, do these boys need further evaluation?  Boys' father has Marfan's Syndrome. Do these boys need further evaluation? 
pid7typeoriginalQ-shortRandQ	0		 Since these boys' father has Marfan's Syndrome, do these boys need further evaluation?  How should I treat polymenorrhea in a 14-year-old girl? 
pid8typeoriginalQ-shortQ	1		 Why did they cut out the expanding granuloma which was due to Coccidiomycosis immitis, rather than just treat it medically?  Why did they cut out the Coccidiomycosis granuloma rather than treat it medically? 
pid9typeoriginalQ-shortQ	1		 Why did she get Coccidiomycosis? She's in her 60's, goes to Florida every winter.  Why did she get Coccidiomycosis? 
pid10typeoriginalQ-shortQ	1		 How do you inject the bicipital tendon?  How do you inject the bicipital tendon? 
pid11typeoriginalQ-shortRandQ	0		 How do you inject the bicipital tendon?  Let's give these immunizations. That's right isn't it? 
pid12typeoriginalQ-shortQ	1		 I wonder if this patient could have a rotator cuff thing?  I wonder if this patient could have a rotator cuff thing? 
